"filename", "language", "pip requirements", "Python", "HTML", "Markdown", "comment", "blank", "total"
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0052_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0053_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0054_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0055_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0056_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0057_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0058_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0059_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0060_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0061_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0062_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\models.py", "Python", 0, 39, 0, 0, 0, 6, 45
"d:\django projects\Full project code\adnan-game-animal\animal\routing.py", "Python", 0, 5, 0, 0, 0, 2, 7
"d:\django projects\Full project code\adnan-game-animal\animal\tests.py", "Python", 0, 1, 0, 0, 1, 2, 4
"d:\django projects\Full project code\adnan-game-animal\animal\urls.py", "Python", 0, 30, 0, 0, 0, 8, 38
"d:\django projects\Full project code\adnan-game-animal\animal\views.py", "Python", 0, 584, 0, 0, 7, 174, 765
"d:\django projects\Full project code\adnan-game-animal\animals\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animals\asgi.py", "Python", 0, 21, 0, 0, 1, 4, 26
"d:\django projects\Full project code\adnan-game-animal\animals\settings.py", "Python", 0, 97, 0, 0, 27, 32, 156
"d:\django projects\Full project code\adnan-game-animal\animals\urls.py", "Python", 0, 7, 0, 0, 15, 2, 24
"d:\django projects\Full project code\adnan-game-animal\animals\wsgi.py", "Python", 0, 4, 0, 0, 8, 5, 17
"d:\django projects\Full project code\adnan-game-animal\gameadmin\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\gameadmin\admin.py", "Python", 0, 1, 0, 0, 1, 2, 4
"d:\django projects\Full project code\adnan-game-animal\gameadmin\apps.py", "Python", 0, 4, 0, 0, 0, 3, 7
"d:\django projects\Full project code\adnan-game-animal\gameadmin\consumers.py", "Python", 0, 141, 0, 0, 1, 29, 171
"d:\django projects\Full project code\adnan-game-animal\gameadmin\migrations\0001_initial.py", "Python", 0, 16, 0, 0, 1, 7, 24
"d:\django projects\Full project code\adnan-game-animal\gameadmin\migrations\0002_room.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\gameadmin\migrations\0003_startingroom_admin_startingroom_time.py", "Python", 0, 18, 0, 0, 1, 6, 25
